FiscalYear,State,Pollutant,AssessmentUnitId
2012,AK,OIL AND GREASE,AK-40506-003
2010,AK,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) (AQUATIC ECOSYSTEMS),AK-30102-602_00
1999,AK,SETTLEABLE SOLIDS,AK-30102-607
2015,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-40509-001_00
2019,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-80401-007
2007,AK,RESIDUES,AK-10103-602
2000,AK,TURBIDITY,AK-10301-005
2007,AK,RESIDUES,AK-10102-601
2007,AK,DISSOLVED GASES,AK-10102-601
2000,AK,DEBRIS,AK-10301-005
2008,AK,FECAL COLIFORM,AK-10301-014
2014,AK,ARSENIC,AK-40510-003
2014,AK,IRON,AK-40510-003
2014,AK,ANTIMONY,AK-40510-003
1997,AK,TURBIDITY,AK-40402-001
2010,AK,SEDIMENT,AK-10301-004_00
2013,AK,MANGANESE,AK-20701-408_00
2013,AK,IRON,AK-20701-408_00
2018,AK,DEBRIS,AK-20402-001_00
2005,AK,RESIDUES,AK-10301-XXX
1997,AK,FECAL COLIFORM,AK 20401-402
2008,AK,RESIDUES,AK-40506-003
2005,AK,FECAL COLIFORM,AK-20401-421
2005,AK,FECAL COLIFORM,AK-20401-003
2018,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-40402-010_05
2002,AK,DISSOLVED GASES,AK-10301-005
2002,AK,METALS (OTHER THAN MERCURY),AK-10301-005
2018,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-80401-007
2001,AK,FECAL COLIFORM,AK-10301-005
2002,AK,SEDIMENT,AK-10203-005
2002,AK,TURBIDITY,AK-10203-005
2019,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-40402-010_02
2006,AK,FECAL COLIFORM,AK-20401-402
2006,AK,FECAL COLIFORM,AK-20401-004
2012,AK,TOTAL AROMATIC HYDROCARBONS,AK-20505-401_00
2009,AK,ZINC,AK-10203-602_00
2009,AK,LEAD,AK-10203-602_00
2009,AK,MANGANESE,AK-10203-602_00
2009,AK,MERCURY,AK-10203-602_00
2009,AK,COBALT,AK-10203-602_00
2009,AK,ARSENIC,AK-10203-602_00
2009,AK,COPPER,AK-10203-602_00
2009,AK,SILVER,AK-10203-602_00
2005,AK,FECAL COLIFORM,AK-20401-419
1999,AK,SETTLEABLE SOLIDS,AK-30101-601
2020,AK,CONTAMINATED SEDIMENTS (PAHS),AK-20505-409_00
2020,AK,ZINC IN SEDIMENT,AK-20505-409_00
2020,AK,LEAD IN SEDIMENT,AK-20505-409_00
2004,AK,FECAL COLIFORM,AK-20401-018
2002,AK,DISSOLVED OXYGEN,AK-20505-409
2004,AK,FECAL COLIFORM,AK20401024
2019,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-40402-010_05
2004,AK,FECAL COLIFORM,AK-20401-020
2010,AK,CONTAMINATED SEDIMENTS (ZINC),AK-10303-004_00
2010,AK,CONTAMINATED SEDIMENTS (COPPER),AK-10303-004_00
2010,AK,CONTAMINATED SEDIMENTS (CADMIUM),AK-10303-004_00
2010,AK,CONTAMINATED SEDIMENTS (LEAD),AK-10303-004_00
2019,AK,TOTAL SUSPENDED SOLIDS (TSS),AK-40402-010_06
2004,AK,FECAL COLIFORM,AK-20401-006
2004,AK,FECAL COLIFORM,AK-20401-017
2011,AK,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) (AQUATIC ECOSYSTEMS),AK-10303-601
2004,AK,FECAL COLIFORM,AK-20401-005
2015,AK,FECAL COLIFORM,AK-20505-001_00
2000,AK,SOLID WASTE,AK-10203-018
2000,AK,RESIDUES,AK-10203-601
2010,AK,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) (AQUATIC ECOSYSTEMS),AK-30102-606_00
1997,AK,FECAL COLIFORM,AK 30402-409
2003,AK,RESIDUES,AK-10203-601
2003,AK,TOXIC & OTHER DELETERIOUS SUBSTANCES,AK-10203-601
1997,AL,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,AL/03160109-050-01
1997,AL,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,AL/03150107-090-01
2009,AL,FECAL COLIFORM,AL03160205-0310-702
2009,AL,FECAL COLIFORM,AL03160205-0202-400
2009,AL,FECAL COLIFORM,AL03150202-0202-401
2009,AL,FECAL COLIFORM,AL03160205-0202-300
2014,AL,ESCHERICHIA COLI (E. COLI),AL03160201-0904-101
2014,AL,ESCHERICHIA COLI (E. COLI),AL03160204-0504-101
2014,AL,ESCHERICHIA COLI (E. COLI),AL03160204-0504-102
2010,AL,ENTEROCOCCUS BACTERIA,AL03140107-0205-102
2010,AL,LEAD,AL03140202-0502-102
2010,AL,ESCHERICHIA COLI (E. COLI),AL03140201-1001-700
2010,AL,ENTEROCOCCUS BACTERIA,AL03140107-0103-100
