FiscalYear,Region,State,PollutantGroup,Pollutant,NumberOfTMDLs,CumulativeTMDLs
1997,01,CT,ALGAL GROWTH,ALGAL GROWTH,0,0
1997,01,CT,ALGAL GROWTH,CHLOROPHYLL-A,0,0
1997,01,CT,ALGAL GROWTH/CHLOROPHYLL A,ALGAL GROWTH/CHLOROPHYLL A,0,0
1997,01,CT,AMMONIA,AMMONIA,0,0
1997,01,CT,CHLORINE,CHLORINE,0,0
1997,01,CT,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,01,CT,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,01,CT,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,01,CT,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,01,CT,NUTRIENTS,NITROGEN,0,0
1997,01,CT,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,01,CT,NUTRIENTS,NUTRIENTS,0,0
1997,01,CT,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,CT,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,ORGANIC ENRICHMENT/LOW DISSOLVED OXYGEN,0,0
1997,01,CT,OTHER CAUSE,POLLUTANTS IN URBAN STORMWATER,0,0
1997,01,CT,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,CT,PATHOGENS,FECAL COLIFORM,0,0
1997,01,CT,TOTAL TOXICS,TOXICITY,0,0
1997,01,CT,TOXIC ORGANICS,"1,2-PROPANEDIOL",0,0
1997,01,CT,TOXIC ORGANICS,ETHYLENE GLYCOL,0,0
1997,01,CT,TURBIDITY,TURBIDITY,0,0
1997,01,MA,CAUSE UNKNOWN - IMPAIRED BIOTA,ESTUARINE BIOASSESSMENTS,0,0
1997,01,MA,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,01,MA,FECAL,FECAL,0,0
1997,01,MA,MERCURY,MERCURY,0,0
1997,01,MA,MERCURY,MERCURY IN FISH TISSUE,0,0
1997,01,MA,NUTRIENTS,"EUTROPHICATION, NUTRIENTS",0,0
1997,01,MA,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,01,MA,NUTRIENTS,PHOSPHORUS,0,0
1997,01,MA,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,MA,ORGANIC ENRICHMENT/OXYGEN DEPLETION,DISSOLVED OXYGEN,0,0
1997,01,MA,PATHOGENS,ENTEROCOCCUS,0,0
1997,01,MA,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,MA,PATHOGENS,FECAL COLIFORM,0,0
1997,01,MA,PATHOGENS,PATHOGENS,0,0
1997,01,ME,CARBONACEOUS BOD,CARBONACEOUS BOD,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),ALUMINUM,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),ARSENIC,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),CADMIUM,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),"CHROMIUM, TOTAL",0,0
1997,01,ME,METALS (OTHER THAN MERCURY),COPPER,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),IRON,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),LEAD,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),NICKEL,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),SELENIUM,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),SILVER,0,0
1997,01,ME,METALS (OTHER THAN MERCURY),ZINC,0,0
1997,01,ME,NH3,NH3,0,0
1997,01,ME,NUTRIENTS,"NITROGEN, TOTAL",0,0
1997,01,ME,NUTRIENTS,PHOSPHORUS,0,0
1997,01,ME,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,ME,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,01,ME,ORTHOPHOSPHORUS,ORTHOPHOSPHORUS,0,0
1997,01,ME,OTHER CAUSE,POLLUTANTS IN URBAN STORMWATER,0,0
1997,01,ME,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,ME,PATHOGENS,FECAL COLIFORM,0,0
1997,01,ME,SEDIMENT,SEDIMENT,0,0
1997,01,ME,TURBIDITY,TOTAL SUSPENDED SOLIDS (TSS),0,0
1997,01,NH,CARBONACEOUS BOD,CARBONACEOUS BOD,0,0
1997,01,NH,ENTEROCOCCUS BACTERIA,ENTEROCOCCUS BACTERIA,0,0
1997,01,NH,MERCURY,MERCURY,0,0
1997,01,NH,METALS (OTHER THAN MERCURY),IRON,0,0
1997,01,NH,NH3,NH3,0,0
1997,01,NH,NH3-N,NH3-N,0,0
1997,01,NH,NUTRIENTS,"PHOSPHORUS, TOTAL",0,0
1997,01,NH,ORGANIC ENRICHMENT/OXYGEN DEPLETION,BIOCHEMICAL OXYGEN DEMAND (BOD),0,0
1997,01,NH,PATHOGENS,ESCHERICHIA COLI (E. COLI),0,0
1997,01,NH,PATHOGENS,FECAL COLIFORM,0,0
1997,01,NH,PH/ACIDITY/CAUSTIC CONDITIONS,PH,0,0
1997,01,NH,PH/ACIDITY/CAUSTIC CONDITIONS,"PH, LOW",0,0
