FiscalYear,Region,State,PollutantGroup,Pollutant,NumberOfTMDLs,CumulativeTMDLs
1996,2,NJ,Mercury,Mercury,13,13
1996,2,NJ,Metals (other than Mercury),Copper,21,21
1996,2,NY,Mercury,Mercury,15,15
1996,4,FL,Ammonia,"Ammonia, Un-ionized",1,1
1996,4,FL,Nutrients,"Nitrogen, Total",3,3
1996,4,FL,Nutrients,"Phosphorus, Total",2,2
1996,4,FL,Organic Enrichment/Oxygen Depletion,Chemical Oxygen Demand (COD),1,1
1996,4,FL,Organic Enrichment/Oxygen Depletion,Oxygen Demand,2,2
1996,4,GA,Organic Enrichment/Oxygen Depletion,Oxygen Demand,2,2
1996,4,NC,Algal Growth,Chlorophyll-A,16,16
1996,4,NC,Nutrients,"Nitrogen, Total",9,9
1996,4,NC,Nutrients,"Phosphorus, Total",9,9
1996,4,NC,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,10,10
1996,10,AK,Polychlorinated Biphenyls (PCBs),Polychlorinated Biphenyls (PCBs),1,1
1996,10,ID,Nutrients,Phosphorus,4,4
1996,10,OR,Ammonia,Ammonia Nitrogen,1,1
1996,10,OR,Nutrients,Phosphorus,1,1
1996,10,OR,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,3,3
1996,10,WA,Ammonia,Ammonia Nitrogen,17,17
1996,10,WA,Chlorine,Chlorine,1,1
1996,10,WA,Organic Enrichment/Oxygen Depletion,Biochemical Oxygen Demand (BOD),17,17
1996,10,WA,Pathogens,Fecal Coliform,16,16
1997,2,NJ,Mercury,Mercury,0,13
1997,2,NJ,Metals (other than Mercury),Copper,0,21
1997,2,NY,Mercury,Mercury,0,15
1997,2,NY,Nutrients,Phosphorus,8,8
1997,4,AL,Ammonia,NH3-N,10,10
1997,4,AL,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),10,10
1997,4,FL,Ammonia,"Ammonia, Un-ionized",0,1
1997,4,FL,Nutrients,"Nitrogen, Total",0,3
1997,4,FL,Nutrients,"Phosphorus, Total",0,2
1997,4,FL,Organic Enrichment/Oxygen Depletion,Chemical Oxygen Demand (COD),0,1
1997,4,FL,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1997,4,GA,Organic Enrichment/Oxygen Depletion,Oxygen Demand,0,2
1997,4,KY,Ammonia,NH3-N,5,5
1997,4,KY,Nutrients,"Phosphorus, Total",2,2
1997,4,KY,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),5,5
1997,4,NC,Algal Growth,Chlorophyll-A,0,16
1997,4,NC,Chlorine,Total Residual Chlorine,6,6
1997,4,NC,Dioxins,Dioxin,5,5
1997,4,NC,Metals (other than Mercury),Cadmium,1,1
1997,4,NC,Metals (other than Mercury),"Chromium, Total",5,5
1997,4,NC,Metals (other than Mercury),Lead,6,6
1997,4,NC,Metals (other than Mercury),Nickel,5,5
1997,4,NC,Metals (other than Mercury),Selenium,3,3
1997,4,NC,Nutrients,"Nitrogen, Total",0,9
1997,4,NC,Nutrients,"Phosphorus, Total",0,9
1997,4,NC,Organic Enrichment/Oxygen Depletion,Dissolved Oxygen,0,10
1997,4,NC,Toxic Inorganics,Cyanide,12,12
1997,4,NC,Toxic Organics,Fluorene,4,4
1997,6,LA,Ammonia,NH3-N,1,1
1997,6,LA,Organic Enrichment/Oxygen Depletion,Carbonaceous Bod (CBOD),1,1
1997,6,LA,Turbidity,Total Suspended Solids (TSS),1,1
1997,8,CO,Ammonia,Ammonia,1,1
1997,8,CO,Ammonia,"Ammonia, Un-ionized",14,14
1997,8,CO,Chlorine,Chlorine,18,18
1997,8,CO,Mercury,Mercury,7,7
1997,8,CO,Metals (other than Mercury),Arsenic,1,1
1997,8,CO,Metals (other than Mercury),Cadmium,4,4
1997,8,CO,Metals (other than Mercury),"Chromium, Total",2,2
1997,8,CO,Metals (other than Mercury),Copper,6,6
1997,8,CO,Metals (other than Mercury),Iron,4,4
1997,8,CO,Metals (other than Mercury),Lead,4,4
1997,8,CO,Metals (other than Mercury),Manganese,5,5
1997,8,CO,Metals (other than Mercury),Silver,3,3
1997,8,CO,Metals (other than Mercury),Zinc,5,5
